Sorrento comune,Sorrento comune.1
,
Sorrento – Veduta,Sorrento – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Rosalba Scialla (commissario prefettizio) dal 28-5-2025
Territorio,Territorio
Coordinate,40°37′40″N 14°22′25″E
Altitudine,50 m s.l.m.
Superficie,"9,96 km²"
Abitanti,14 972[1] (30-11-2025)
Densità,"1 503,21 ab./km²"
Frazioni,"Casarlano, Cesarano, Marano, Priora, Santa Lucia, Sorrento Capo, Marina Grande, Marina Piccola, Sottomonte"
Comuni confinanti,"Massa Lubrense, Sant'Agnello"
Altre informazioni,Altre informazioni
Cod. postale,80067
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063080
Cod. catastale,I862
Targa,
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 030 GG[3]"
Nome abitanti,sorrentini
Patrono,sant'Antonino abate
Giorno festivo,14 febbraio
Cartografia,Cartografia
Sorrento,Sorrento
Sorrento – MappaPosizione del comune di Sorrento nella città metropolitana di Napoli,Sorrento – MappaPosizione del comune di Sorrento nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
