Crispano comune,Crispano comune.1
,
Crispano – Veduta,Crispano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Michele Emiliano (Unità e cambiamento) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,40°57′N 14°17′E
Altitudine,37 m s.l.m.
Superficie,"2,22 km²"
Abitanti,11 562[1] (30-11-2025)
Densità,"5 208,11 ab./km²"
Comuni confinanti,"Caivano, Cardito, Frattamaggiore, Frattaminore, Orta di Atella (CE)"
Altre informazioni,Altre informazioni
Cod. postale,80020
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063030
Cod. catastale,D170
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 030 GG[3]"
Nome abitanti,crispanesi
Patrono,san Gregorio Magno
Giorno festivo,12 marzo
Cartografia,Cartografia
Crispano,Crispano
Crispano – MappaPosizione del comune di Crispano nella città metropolitana di Napoli,Crispano – MappaPosizione del comune di Crispano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
