Bacoli comune,Bacoli comune.1
,
Bacoli – Veduta,Bacoli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Josi Gerardo Della Ragione (centro-sinistra - lista civica FreeBacoli) dal 9-6-2019 (2º mandato dal 9-6-2024)
Data di istituzione,19 gennaio 1919
Territorio,Territorio
Coordinate,40°48′N 14°05′E
Altitudine,30 m s.l.m.
Superficie,"13,47 km²"
Abitanti,24 794[1] (30-11-2025)
Densità,"1 840,68 ab./km²"
Frazioni,"Baia, Capo Miseno, Cappella, Cuma, Faro, Fusaro, Miliscola, Miseno, Scalandrone, Torregaveta"
Comuni confinanti,"Monte di Procida, Pozzuoli"
Altre informazioni,Altre informazioni
Cod. postale,80070
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063006
Cod. catastale,A535
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 071 GG[3]"
Nome abitanti,bacolesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Bacoli,Bacoli
Bacoli – MappaPosizione del comune di Bacoli nella città metropolitana di Napoli,Bacoli – MappaPosizione del comune di Bacoli nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
