Boscotrecase comune,Boscotrecase comune.1
,
Boscotrecase – Veduta,Boscotrecase – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Pietro Carotenuto (Boscotrecase libera) dal 27-6-2016
Territorio,Territorio
Coordinate,40°47′N 14°28′E
Altitudine,86 m s.l.m.
Superficie,"7,53 km²"
Abitanti,9 801[1] (30-11-2025)
Densità,"1 301,59 ab./km²"
Comuni confinanti,"Boscoreale, Ercolano, Ottaviano, Terzigno, Torre Annunziata, Torre del Greco, Trecase"
Altre informazioni,Altre informazioni
Cod. postale,80042
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063009
Cod. catastale,B077
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 275 GG[3]"
Nome abitanti,boschesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Boscotrecase,Boscotrecase
Boscotrecase – MappaIl territorio di Boscotrecase nella città metropolitana di Napoli,Boscotrecase – MappaIl territorio di Boscotrecase nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
