Anacapri comune,Anacapri comune.1
,
Anacapri – VedutaPanorama di Anacapri,Anacapri – VedutaPanorama di Anacapri
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Francesco Cerrotta (lista civica Anacapri) dal 10-6-2024
Territorio,Territorio
Coordinate,40°33′05″N 14°13′00″E
Altitudine,275 m s.l.m.
Superficie,"6,47 km²"
Abitanti,6 753[1] (30-11-2025)
Densità,"1 043,74 ab./km²"
Comuni confinanti,Capri
Altre informazioni,Altre informazioni
Cod. postale,80071
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063004
Cod. catastale,A268
Targa,
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 254 GG[3]"
Nome abitanti,anacapresi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Anacapri,Anacapri
Anacapri – MappaPosizione del comune di Anacapri nella città metropolitana di Napoli,Anacapri – MappaPosizione del comune di Anacapri nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
