Acerra comune,Acerra comune.1
,
Acerra – Veduta,Acerra – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Tito D'Errico (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,40°57′N 14°22′E
Altitudine,28 m s.l.m.
Superficie,"54,71 km²"
Abitanti,58 605[1] (30-11-2025)
Densità,"1 071,19 ab./km²"
Frazioni,"Calabricito, Curcio, Gaudello, Parmiano, Pastiniello, Pezzalunga, Pizzone, Santa Maria La Selva, Sperduto"
Comuni confinanti,"Afragola, Brusciano, Caivano, Casalnuovo di Napoli, Castello di Cisterna, Maddaloni (CE), Marcianise (CE), Marigliano, Nola, Pomigliano d'Arco, San Felice a Cancello (CE)"
Altre informazioni,Altre informazioni
Cod. postale,80011
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063001
Cod. catastale,A024
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 011 GG[3]"
Nome abitanti,acerrani o cerrani
Patrono,san Cuono e Figlio
Giorno festivo,29 maggio
Cartografia,Cartografia
Acerra,Acerra
Acerra – MappaPosizione del comune di Acerra nella città metropolitana di Napoli,Acerra – MappaPosizione del comune di Acerra nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
