Capri comune,Capri comune.1
,
Capri – Veduta,Capri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,"Paolo Falco (lista civica ""Capri Futura"") dal 10-6-2024"
Territorio,Territorio
Coordinate,40°33′20″N 14°14′25″E
Altitudine,142 m s.l.m.
Superficie,"4,06 km²"
Abitanti,6 719[1] (30-11-2025)
Densità,"1 654,93 ab./km²"
Frazioni,Marina Grande
Comuni confinanti,Anacapri
Altre informazioni,Altre informazioni
Cod. postale,80073
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063014
Cod. catastale,B696
Targa,
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 031 GG[3]"
Nome abitanti,capresi
Patrono,san Costanzo
Giorno festivo,14 maggio
Cartografia,Cartografia
Capri,Capri
Capri – MappaPosizione del comune di Capri nella città metropolitana di Napoli,Capri – MappaPosizione del comune di Capri nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
