Frattamaggiore comune,Frattamaggiore comune.1
,
"Frattamaggiore – VedutaPiazza Umberto I a Frattamaggiore. Da sinistra: basilica di San Sossio e campanile, pinacoteca, municipio e torre civica.","Frattamaggiore – VedutaPiazza Umberto I a Frattamaggiore. Da sinistra: basilica di San Sossio e campanile, pinacoteca, municipio e torre civica."
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Marco Antonio Del Prete (coalizione di liste civiche di centro-sinistra) dal 31-5-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,40°56′30″N 14°16′20″E
Altitudine,44 m s.l.m.
Superficie,"5,32 km²"
Abitanti,28 694[1] (30-11-2025)
Densità,"5 393,61 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Arzano, Cardito, Casoria, Crispano, Frattaminore, Grumo Nevano, Sant'Arpino (CE)"
Altre informazioni,Altre informazioni
Cod. postale,80027
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063032
Cod. catastale,D789
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 008 GG[3]"
Nome abitanti,frattesi
Patrono,san Sossio Levita e Martire
Giorno festivo,23 settembre
Cartografia,Cartografia
Frattamaggiore,Frattamaggiore
Frattamaggiore – MappaPosizione del comune di Frattamaggiore nella città metropolitana di Napoli,Frattamaggiore – MappaPosizione del comune di Frattamaggiore nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
