Brusciano comune,Brusciano comune.1
,
"Brusciano – VedutaDall'alto al basso, da sinistra a destra: via Camillo Cucca in una fotografia degli anni '70; via Semmola durante la festa dei Gigli; il campanile della chiesa Santa Maria delle Grazie, visto da uno scorcio nel Borgo Casaromano; Pro Loco in via Semmola, sempre durante la medesima festa; scorcio di Vico Tre Santi, con l'arco di Sant'Antonio; la chiesa Santa Maria delle Grazie.","Brusciano – VedutaDall'alto al basso, da sinistra a destra: via Camillo Cucca in una fotografia degli anni '70; via Semmola durante la festa dei Gigli; il campanile della chiesa Santa Maria delle Grazie, visto da uno scorcio nel Borgo Casaromano; Pro Loco in via Semmola, sempre durante la medesima festa; scorcio di Vico Tre Santi, con l'arco di Sant'Antonio; la chiesa Santa Maria delle Grazie."
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Giacomo Romano (FdI) dal 14-10-2021
Territorio,Territorio
Coordinate,40°55′20.53″N 14°25′25.9″E
Altitudine,25 m s.l.m.
Superficie,"5,62 km²"
Abitanti,16 163[1] (30-11-2025)
Densità,"2 875,98 ab./km²"
Frazioni,"La Scorza, Pastena, De Ruggiero, Cimminola, Quarantamoggi"
Comuni confinanti,"Acerra, Castello di Cisterna, Mariglianella, Marigliano, Somma Vesuviana"
Altre informazioni,Altre informazioni
Cod. postale,80031
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063010
Cod. catastale,B227
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 009 GG[3]"
Nome abitanti,bruscianesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Brusciano,Brusciano
Brusciano – MappaPosizione del comune di Brusciano nella città metropolitana di Napoli,Brusciano – MappaPosizione del comune di Brusciano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
