Boscoreale comune,Boscoreale comune.1
,
Boscoreale – Veduta,Boscoreale – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Di Lauro Pasquale (Civico) dal 16-5-2023
Territorio,Territorio
Coordinate,40°46′30″N 14°28′30″E
Altitudine,65 m s.l.m.
Superficie,"11,35 km²"
Abitanti,25 669[1] (30-11-2025)
Densità,"2 261,59 ab./km²"
Frazioni,"Cangiani, Flocco, Marchesa, Marra, Passanti, Pellegrini, Piano Napoli"
Comuni confinanti,"Boscotrecase, Poggiomarino, Pompei, Scafati (SA), Terzigno, Torre Annunziata"
Altre informazioni,Altre informazioni
Cod. postale,80041
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063008
Cod. catastale,B076
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 240 GG[3]"
Nome abitanti,boschesi/vuscari
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Boscoreale,Boscoreale
Boscoreale – MappaPosizione del comune di Boscoreale nella città metropolitana di Napoli,Boscoreale – MappaPosizione del comune di Boscoreale nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
