Calvizzano comune,Calvizzano comune.1
,
"Calvizzano – VedutaPanorama di Calvizzano. Sullo sfondo, a destra, la chiesa di Santa Maria delle Grazie.","Calvizzano – VedutaPanorama di Calvizzano. Sullo sfondo, a destra, la chiesa di Santa Maria delle Grazie."
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Giovanni Lucchese (commissario prefettizio) dal 6-2-2026
Territorio,Territorio
Coordinate,40°54′32.4″N 14°10′30.49″E
Altitudine,135 m s.l.m.
Superficie,"3,98 km²"
Abitanti,12 855[1] (30-11-2025)
Densità,"3 229,9 ab./km²"
Frazioni,San Pietro
Comuni confinanti,"Marano di Napoli, Mugnano di Napoli, Qualiano, Villaricca"
Altre informazioni,Altre informazioni
Cod. postale,80012
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063012
Cod. catastale,B452
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 191 GG[3]"
Nome abitanti,calvizzanesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Calvizzano,Calvizzano
Calvizzano – MappaPosizione del comune di Calvizzano nella città metropolitana di Napoli,Calvizzano – MappaPosizione del comune di Calvizzano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
