Camposano comune,Camposano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Francesco Barbato (Italia dei Valori) dal 4-10-2021
Territorio,Territorio
Coordinate,40°57′N 14°32′E
Altitudine,30 m s.l.m.
Superficie,"3,33 km²"
Abitanti,5 010[1] (30-11-2025)
Densità,"1 504,5 ab./km²"
Frazioni,Faibano
Comuni confinanti,"Cicciano, Cimitile, Comiziano, Nola"
Altre informazioni,Altre informazioni
Cod. postale,80030
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063013
Cod. catastale,B565
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 036 GG[3]"
Nome abitanti,camposanesi
Patrono,san Gavino Martire
Giorno festivo,25 ottobre
Cartografia,Cartografia
Camposano,Camposano
Camposano – MappaPosizione del comune di Camposano nella città metropolitana di Napoli,Camposano – MappaPosizione del comune di Camposano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
