Poggiomarino comune,Poggiomarino comune.1
,
Poggiomarino – Veduta,Poggiomarino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Gabriella D'Orso (commissario prefettizio) dal 21-10-2024
Territorio,Territorio
Coordinate,40°48′N 14°33′E
Altitudine,26 m s.l.m.
Superficie,"13,2 km²"
Abitanti,22 781[1] (30-11-2025)
Densità,"1 725,83 ab./km²"
Frazioni,"Flocco, Fornillo"
Comuni confinanti,"Boscoreale, Palma Campania, San Giuseppe Vesuviano, San Valentino Torio (SA), Scafati (SA), Striano, Terzigno"
Altre informazioni,Altre informazioni
Cod. postale,80040
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063055
Cod. catastale,G762
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 166 GG[3]"
Nome abitanti,poggiomarinesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Poggiomarino,Poggiomarino
Poggiomarino – MappaPosizione del comune di Poggiomarino nella città metropolitana di Napoli,Poggiomarino – MappaPosizione del comune di Poggiomarino nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
