Tufino comune,Tufino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Michele Arvonio (Uniti per Tufino) dal 13-6-2022
Territorio,Territorio
Coordinate,40°57′N 14°34′E
Altitudine,91 m s.l.m.
Superficie,"5,21 km²"
Abitanti,3 333[1] (30-11-2025)
Densità,"639,73 ab./km²"
Frazioni,"Risigliano, Schiava, contrada cesina, Vignola"
Comuni confinanti,"Avella (AV), Casamarciano, Cicciano, Comiziano, Roccarainola"
Altre informazioni,Altre informazioni
Cod. postale,80030
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063085
Cod. catastale,L460
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 117 GG[3]"
Nome abitanti,tufinesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Tufino,Tufino
Tufino – MappaPosizione del comune di Tufino nella città metropolitana di Napoli,Tufino – MappaPosizione del comune di Tufino nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
