Grumo Nevano comune,Grumo Nevano comune.1
,
Grumo Nevano – VedutaBasilica pontificia di San Tammaro vescovo,Grumo Nevano – VedutaBasilica pontificia di San Tammaro vescovo
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Umberto Cimmino (indipendente di centro-sinistra) dal 27-06-2024
Data di istituzione,31 dicembre 1863
Territorio,Territorio
Coordinate,40°56′08.64″N 14°15′37.28″E
Altitudine,53 m s.l.m.
Superficie,"2,88 km²"
Abitanti,17 070[1] (30-11-2025)
Densità,"5 927,08 ab./km²"
Frazioni,"Borgo Maddalena, Sepano"
Comuni confinanti,"Sant'Arpino (CE), Frattamaggiore, Casandrino, Arzano, Sant'Antimo"
Altre informazioni,Altre informazioni
Cod. postale,80028
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063036
Cod. catastale,E224
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 023 GG[3]"
Nome abitanti,grumesi
Patrono,san Tammaro Vescovo
Giorno festivo,16 gennaio
Cartografia,Cartografia
Grumo Nevano,Grumo Nevano
Grumo Nevano – MappaPosizione del comune di Grumo Nevano nella città metropolitana di Napoli,Grumo Nevano – MappaPosizione del comune di Grumo Nevano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
