Portici comune,Portici comune.1
,
Portici – VedutaLa Reggia di Portici,Portici – VedutaLa Reggia di Portici
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Vincenzo Cuomo (PD) dal 12-6-2017
Territorio,Territorio
Coordinate,40°49′11″N 14°20′28″E
Altitudine,29 m s.l.m.
Superficie,"4,52[1] km²"
Abitanti,51 230[2] (30-11-2025)
Densità,"11 334,07 ab./km²"
Frazioni,Bellavista
Comuni confinanti,"Ercolano, Napoli, San Giorgio a Cremano"
Altre informazioni,Altre informazioni
Cod. postale,80055
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063059
Cod. catastale,G902
Targa,
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 028 GG[4]"
Nome abitanti,porticesi
Patrono,san Ciro
Giorno festivo,31 gennaio e prima domenica di maggio
Cartografia,Cartografia
Portici,Portici
Portici – MappaPosizione del comune di Portici nella città metropolitana di Napoli,Portici – MappaPosizione del comune di Portici nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
