Monte di Procida comune,Monte di Procida comune.1
,
Monte di Procida – Veduta,Monte di Procida – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Salvatore Scotto Di Santolo (lista civica Ora Monte di Procida) dal 20-6-2024
Territorio,Territorio
Coordinate,40°48′N 14°03′E
Altitudine,63 m s.l.m.
Superficie,"3,7 km²"
Abitanti,11 760[1] (30-11-2025)
Densità,"3 178,38 ab./km²"
Frazioni,"Cappella, Miliscola, Torregaveta"
Comuni confinanti,Bacoli
Altre informazioni,Altre informazioni
Cod. postale,80070
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063047
Cod. catastale,F488
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 125 GG[3]"
Nome abitanti,montesi
Patrono,SS. Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Monte di Procida,Monte di Procida
Monte di Procida – MappaPosizione del comune di Monte di Procida nella città metropolitana di Napoli,Monte di Procida – MappaPosizione del comune di Monte di Procida nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
