Casamarciano comune,Casamarciano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Clemente Primiano (lista civica Sì Amo Casamarciano) dal 13-6-2022
Territorio,Territorio
Coordinate,40°55′54.88″N 14°33′11.66″E
Altitudine,70 m s.l.m.
Superficie,"6,38 km²"
Abitanti,2 989[1] (30-11-2025)
Densità,"468,5 ab./km²"
Frazioni,"Schiava, Trivio"
Comuni confinanti,"Avella (AV), Cimitile, Comiziano, Nola, Tufino, Visciano"
Altre informazioni,Altre informazioni
Cod. postale,80032
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063018
Cod. catastale,B922
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 082 GG[3]"
Nome abitanti,casamarcianesi
Patrono,san Clemente Papa
Giorno festivo,23 novembre
Cartografia,Cartografia
Casamarciano,Casamarciano
Casamarciano – MappaPosizione del comune di Casamarciano nella città metropolitana di Napoli,Casamarciano – MappaPosizione del comune di Casamarciano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
