Napoli comune,Napoli comune.1
(dettagli),(dettagli)
"Napoli – VedutaVista panoramica su Napoli dal Castel Sant'Elmo. In alto il Vesuvio, in basso la Certosa di San Martino.","Napoli – VedutaVista panoramica su Napoli dal Castel Sant'Elmo. In alto il Vesuvio, in basso la Certosa di San Martino."
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Gaetano Manfredi (Indipendente di centro-sinistra) dal 18-10-2021
Territorio,Territorio
Coordinate,40°50′09″N 14°14′55″E
Altitudine,17 m s.l.m.
Superficie,"117,27 km²"
Abitanti,905 259[1] (30-11-2025)
Densità,"7 719,44 ab./km²"
Comuni confinanti,"Arzano, Casandrino, Casavatore, Casoria, Cercola, Marano di Napoli, Melito di Napoli, Mugnano di Napoli, Portici, Pozzuoli, Quarto, San Giorgio a Cremano, San Sebastiano al Vesuvio, Volla"
Altre informazioni,Altre informazioni
Cod. postale,"80121, 80122, 80123, 80124, 80125, 80126, 80127, 80128, 80129, 80131, 80132, 80133, 80134, 80135, 80136, 80137, 80138, 80139, 80141, 80142, 80143, 80144, 80145, 80146 e 80147"
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063049
Cod. catastale,F839
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 034 GG[3]"
Nome abitanti,napoletani o partenopei
Patrono,san Gennaro
Giorno festivo,19 settembre
PIL,"(nominale) 28,4 miliardi di € (2024)[4]"
PIL procapite,(nominale) 30804 € (2024)[4]
Cartografia,Cartografia
Napoli,Napoli
Napoli – MappaPosizione del comune di Napoli nell'omonima città metropolitana,Napoli – MappaPosizione del comune di Napoli nell'omonima città metropolitana
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
