Castello di Cisterna comune,Castello di Cisterna comune.1
,
Castello di Cisterna – Veduta,Castello di Cisterna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Aniello Rega (Uniti per Castello di Cisterna) dal 5-6-2016
Territorio,Territorio
Coordinate,40°55′05.77″N 14°24′41.99″E
Altitudine,34 m s.l.m.
Superficie,"3,92 km²"
Abitanti,7 861[1] (30-11-2025)
Densità,"2 005,36 ab./km²"
Comuni confinanti,"Acerra, Brusciano, Pomigliano d'Arco, Somma Vesuviana"
Altre informazioni,Altre informazioni
Cod. postale,80030
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063025
Cod. catastale,C188
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 021 GG[3]"
Nome abitanti,cisternesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Castello di Cisterna,Castello di Cisterna
Castello di Cisterna – MappaPosizione del comune di Castello di Cisterna nella città metropolitana di Napoli,Castello di Cisterna – MappaPosizione del comune di Castello di Cisterna nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
