Nola comune,Nola comune.1
,
Nola – VedutaDuomo di Nola,Nola – VedutaDuomo di Nola
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Andrea Ruggiero (lista civica) dal 26-5-2025
Territorio,Territorio
Coordinate,40°56′N 14°32′E
Altitudine,28 m s.l.m.
Superficie,"39,19 km²"
Abitanti,34 095[1] (30-11-2025)
Densità,"869,99 ab./km²"
Frazioni,"Piazzolla, Polvica di Nola"
Comuni confinanti,"Acerra, Camposano, Casamarciano, Cicciano, Cimitile, Liveri, Marigliano, Ottaviano, Palma Campania, Roccarainola, San Felice a Cancello (CE), San Gennaro Vesuviano, San Paolo Bel Sito, San Vitaliano, Saviano, Scisciano, Somma Vesuviana, Visciano"
Altre informazioni,Altre informazioni
Cod. postale,80035
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063050
Cod. catastale,F924
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 021 GG[3]"
Nome abitanti,nolani
Patrono,"san Felice, san Paolino di Nola"
Giorno festivo,"15 novembre (san Felice), 22 giugno (san Paolino di Nola)"
Soprannome,Città dei Gigli
Cartografia,Cartografia
Nola,Nola
Nola – MappaPosizione del comune di Nola nella città metropolitana di Napoli,Nola – MappaPosizione del comune di Nola nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
