Torre Annunziata comune,Torre Annunziata comune.1
,
"Torre Annunziata – VedutaPanorama da via Vittorio Veneto, sullo sfondo i silos del porto e la cupola del Santuario dello Spirito Santo","Torre Annunziata – VedutaPanorama da via Vittorio Veneto, sullo sfondo i silos del porto e la cupola del Santuario dello Spirito Santo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Corrado Cuccurullo[1] (Indipendente di centro-sinistra) dal 1-7-2024
Territorio,Territorio
Coordinate,40°45′25″N 14°26′40″E
Altitudine,9 m s.l.m.
Superficie,"7,54 km²"
Abitanti,39 505[2] (30-11-2025)
Densità,"5 239,39 ab./km²"
Comuni confinanti,"Boscoreale, Boscotrecase, Castellammare di Stabia, Pompei, Torre del Greco, Trecase"
Altre informazioni,Altre informazioni
Cod. postale,80058
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063083
Cod. catastale,L245
Targa,
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 123 GG[4]"
Nome abitanti,"torresi, oplontini[5]"
Patrono,Madonna della Neve
Giorno festivo,22 ottobre (festa votiva) 5 agosto (rievocazione del ritrovamento della Madonna della Neve)
Cartografia,Cartografia
Torre Annunziata,Torre Annunziata
Torre Annunziata – MappaPosizione del comune di Torre Annunziata nella città metropolitana di Napoli,Torre Annunziata – MappaPosizione del comune di Torre Annunziata nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
