Pomigliano d'Arco comune,Pomigliano d'Arco comune.1
,
Pomigliano d'Arco – VedutaIl municipio,Pomigliano d'Arco – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Lello Russo (PSI) dal 25-5-2023
Territorio,Territorio
Coordinate,40°55′N 14°24′E
Altitudine,33 m s.l.m.
Superficie,"11,71 km²"
Abitanti,39 611[1] (30-11-2025)
Densità,"3 382,66 ab./km²"
Frazioni,"Castello, Cutinelli, Feudo, Papaccio, Masseria Guadagni, Masseria Tavolone, Paciano, Pratola Ponte"
Comuni confinanti,"Acerra, Casalnuovo di Napoli, Castello di Cisterna, Sant'Anastasia, Somma Vesuviana"
Altre informazioni,Altre informazioni
Cod. postale,80038
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063057
Cod. catastale,G812
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 127 GG[3]"
Nome abitanti,pomiglianesi
Patrono,san Felice
Giorno festivo,14 gennaio
Cartografia,Cartografia
Pomigliano d'Arco,Pomigliano d'Arco
Pomigliano d'Arco – MappaPosizione del comune di Pomigliano d'Arco nella città metropolitana di Napoli,Pomigliano d'Arco – MappaPosizione del comune di Pomigliano d'Arco nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
