Sant'Antonio Abate comune,Sant'Antonio Abate comune.1
,
Sant'Antonio Abate – VedutaPanorama di Sant'Antonio Abate con il Vesuvio sullo sfondo.,Sant'Antonio Abate – VedutaPanorama di Sant'Antonio Abate con il Vesuvio sullo sfondo.
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Ilaria Abagnale (Federazione Abatese) dal 27-5-2019
Territorio,Territorio
Coordinate,40°43′20″N 14°32′40″E
Altitudine,20 m s.l.m.
Superficie,"7,93 km²"
Abitanti,18 778[1] (30-11-2025)
Densità,"2 367,97 ab./km²"
Frazioni,"Casa Iovine, Salette, Fusara, Buonconsiglio, Pontone"
Comuni confinanti,"Angri (SA), Gragnano, Lettere, Santa Maria la Carità, Scafati (SA), Pompei."
Altre informazioni,Altre informazioni
Cod. postale,80057
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063074
Cod. catastale,I300
Targa,
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 061 GG[3]"
Nome abitanti,abatesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Sant'Antonio Abate,Sant'Antonio Abate
Sant'Antonio Abate – MappaPosizione del comune di Sant'Antonio Abate nella città metropolitana di Napoli,Sant'Antonio Abate – MappaPosizione del comune di Sant'Antonio Abate nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
