Villaricca comune,Villaricca comune.1
,
Villaricca – Veduta,Villaricca – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Francesco Gaudieri (liste civiche) dal 23-10-2023
Territorio,Territorio
Coordinate,40°55′N 14°12′E
Altitudine,105 m s.l.m.
Superficie,"6,88 km²"
Abitanti,31 486[1] (30-11-2025)
Densità,"4 576,45 ab./km²"
Frazioni,Torretta-Scalzapecora (Villaricca 2)
Comuni confinanti,"Calvizzano, Giugliano in Campania, Marano di Napoli, Mugnano di Napoli, Qualiano, Quarto"
Altre informazioni,Altre informazioni
Cod. postale,80010
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063087
Cod. catastale,G309
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 120 GG[3]"
Nome abitanti,villaricchési
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Villaricca,Villaricca
Villaricca – MappaPosizione del comune di Villaricca nella città metropolitana di Napoli,Villaricca – MappaPosizione del comune di Villaricca nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
