Mugnano di Napoli comune,Mugnano di Napoli comune.1
,
Mugnano di Napoli – VedutaLargo del Municipio con il vecchio edificio comunale (a destra). Foto del 1936.,Mugnano di Napoli – VedutaLargo del Municipio con il vecchio edificio comunale (a destra). Foto del 1936.
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Luigi Sarnataro (PD) dal 22-9-2020
Territorio,Territorio
Coordinate,40°54′15″N 14°12′28″E
Altitudine,125 m s.l.m.
Superficie,"5,25 km²"
Abitanti,35 502[1] (30-11-2025)
Densità,"6 762,29 ab./km²"
Comuni confinanti,"Calvizzano, Giugliano in Campania, Marano di Napoli, Melito di Napoli, Napoli, Villaricca"
Altre informazioni,Altre informazioni
Cod. postale,80018
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063048
Cod. catastale,F799
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 174 GG[3]"
Nome abitanti,mugnanesi
Patrono,san Biagio di Sebaste
Giorno festivo,3 febbraio
Cartografia,Cartografia
Mugnano di Napoli,Mugnano di Napoli
Mugnano di Napoli – MappaPosizione del comune di Mugnano di Napoli nella città metropolitana di Napoli,Mugnano di Napoli – MappaPosizione del comune di Mugnano di Napoli nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
