San Gennaro Vesuviano comune,San Gennaro Vesuviano comune.1
,
San Gennaro Vesuviano – VedutaMunicipio,San Gennaro Vesuviano – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Antonio Russo (Obiettivo San Gennaro) dal 22-9-2020
Territorio,Territorio
Coordinate,40°52′N 14°32′E
Altitudine,56 m s.l.m.
Superficie,"7,01 km²"
Abitanti,12 157[1] (30-11-2025)
Densità,"1 734,24 ab./km²"
Frazioni,"Aprile, Bosco, Giugliani, Ruocco"
Comuni confinanti,"Nola, Ottaviano, Palma Campania, San Giuseppe Vesuviano"
Altre informazioni,Altre informazioni
Cod. postale,80040
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063066
Cod. catastale,H860
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 204 GG[3]"
Nome abitanti,sangennaresi
Patrono,san Gennaro
Giorno festivo,19 settembre
Cartografia,Cartografia
San Gennaro Vesuviano,San Gennaro Vesuviano
San Gennaro Vesuviano – MappaPosizione del comune di San Gennaro Vesuviano nella città metropolitana di Napoli,San Gennaro Vesuviano – MappaPosizione del comune di San Gennaro Vesuviano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
