Quarto comune,Quarto comune.1
,
"Quarto – VedutaNecropoli di Via Brindisi: Il Mausoleo a cuspide piramidale detto ""Fèscina""","Quarto – VedutaNecropoli di Via Brindisi: Il Mausoleo a cuspide piramidale detto ""Fèscina"""
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Antonio Sabino (PD) dal 25-6-2018 (2º mandato dal 17-5-2023)
Territorio,Territorio
Coordinate,40°53′N 14°08′E
Altitudine,55 m s.l.m.
Superficie,"14,16 km²"
Abitanti,41 549[1] (30-11-2025)
Densità,"2 934,25 ab./km²"
Frazioni,"Buongiorno, Cafone, Castello Monteleone, Montagna Spaccata, Reginella, Sciccone, Spinelli"
Comuni confinanti,"Giugliano in Campania, Marano di Napoli, Napoli, Pozzuoli, Villaricca"
Altre informazioni,Altre informazioni
Cod. postale,80010
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063063
Cod. catastale,H114
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 039 GG[3]"
Nome abitanti,quartesi
Patrono,santa Maria
Giorno festivo,12 settembre
Cartografia,Cartografia
Quarto,Quarto
Quarto – MappaPosizione del comune di Quarto nella città metropolitana di Napoli,Quarto – MappaPosizione del comune di Quarto nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
