Massa di Somma comune,Massa di Somma comune.1
,
Massa di Somma – VedutaChiesa dell'Assunta,Massa di Somma – VedutaChiesa dell'Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Gioacchino Madonna (Noi per Massa) dal 5-6-2016
Data di istituzione,1989
Territorio,Territorio
Coordinate,40°50′32.64″N 14°23′25.92″E
Altitudine,175 m s.l.m.
Superficie,"3,04 km²"
Abitanti,4 922[1] (30-11-2025)
Densità,"1 619,08 ab./km²"
Comuni confinanti,"Cercola, Ercolano, Pollena Trocchia, San Sebastiano al Vesuvio"
Altre informazioni,Altre informazioni
Cod. postale,80040
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063092
Cod. catastale,M289
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 273 GG[3]"
Nome abitanti,massesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Massa di Somma,Massa di Somma
Massa di Somma – MappaPosizione del comune di Massa di Somma nella città metropolitana di Napoli,Massa di Somma – MappaPosizione del comune di Massa di Somma nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
