Afragola comune,Afragola comune.1
,
Afragola – VedutaPalazzo di Città,Afragola – VedutaPalazzo di Città
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Fernando Mone (Commissario Prefettizio) dal 1-12-2025
Territorio,Territorio
Coordinate,40°55′N 14°19′E
Altitudine,43 m s.l.m.
Superficie,"17,9 km²"
Abitanti,61 541[1] (30-11-2025)
Densità,"3 438,04 ab./km²"
Frazioni,"Capo Mazzo, Saggese"
Comuni confinanti,"Acerra, Caivano, Cardito, Casalnuovo di Napoli, Casoria"
Altre informazioni,Altre informazioni
Cod. postale,80021
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063002
Cod. catastale,A064
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 036 GG[3]"
Nome abitanti,afragolesi
Patrono,san Gennaro sant'Antonio di Padova
Giorno festivo,"19 settembre, 13 giugno"
Cartografia,Cartografia
Afragola,Afragola
Afragola – MappaPosizione del comune di Afragola nella città metropolitana di Napoli,Afragola – MappaPosizione del comune di Afragola nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
