Cimitile comune,Cimitile comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Filomena Balletta (Cimitile nuova) dal 16-5-2023
Territorio,Territorio
Coordinate,40°56′46.1″N 14°31′19.35″E
Altitudine,40 m s.l.m.
Superficie,"2,74 km²"
Abitanti,6 918[1] (30-11-2025)
Densità,"2 524,82 ab./km²"
Comuni confinanti,"Camposano, Casamarciano, Comiziano, Nola"
Altre informazioni,Altre informazioni
Cod. postale,80030
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063028
Cod. catastale,C697
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 031 GG[3]"
Nome abitanti,cimitilesi
Patrono,san Felice in Pincis
Giorno festivo,14 gennaio
Cartografia,Cartografia
Cimitile,Cimitile
Cimitile – MappaPosizione del comune di Cimitile nella città metropolitana di Napoli,Cimitile – MappaPosizione del comune di Cimitile nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
