Pollena Trocchia comune,Pollena Trocchia comune.1
,
Pollena Trocchia – Veduta,Pollena Trocchia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Carlo Esposito (lista civica) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,40°51′21″N 14°22′58″E
Altitudine,240 m s.l.m.
Superficie,"8,02 km²"
Abitanti,12 672[1] (30-11-2025)
Densità,"1 580,05 ab./km²"
Frazioni,"Guindazzi, Musci, Pollena, San Gennariello-Laurenzana, Tamburiello, Trocchia"
Comuni confinanti,"Casalnuovo di Napoli, Cercola, Ercolano, Massa di Somma, Sant'Anastasia, Volla"
Altre informazioni,Altre informazioni
Cod. postale,80040
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063056
Cod. catastale,G795
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 297 GG[3]"
Nome abitanti,"pollena-trocchiesi, pollenesi, trocchiesi"
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Pollena Trocchia,Pollena Trocchia
Pollena Trocchia – MappaPosizione del comune di Pollena Trocchia nella città metropolitana di Napoli,Pollena Trocchia – MappaPosizione del comune di Pollena Trocchia nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
