Liveri comune,Liveri comune.1
,
Liveri – Veduta,Liveri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Raffaele Coppola (Liveri insieme) dal 26-5-2014
Territorio,Territorio
Coordinate,40°54′N 14°34′E
Altitudine,90 m s.l.m.
Superficie,"2,71 km²"
Abitanti,1 475[1] (30-11-2025)
Densità,"544,28 ab./km²"
Comuni confinanti,"Carbonara di Nola, Domicella (AV), Marzano di Nola (AV), Nola, Palma Campania, San Paolo Bel Sito, Visciano"
Altre informazioni,Altre informazioni
Cod. postale,80030
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063040
Cod. catastale,E620
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 115 GG[3]"
Nome abitanti,liveresi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Liveri,Liveri
Liveri – MappaPosizione del comune di Liveri nella città metropolitana di Napoli,Liveri – MappaPosizione del comune di Liveri nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
