Marano di Napoli comune,Marano di Napoli comune.1
,
Marano di Napoli – VedutaLa città vista da Torre Caracciolo,Marano di Napoli – VedutaLa città vista da Torre Caracciolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,"Vincenzo Cardellicchio, Fabio Giombini, Michele Albertini (commissione straordinaria) dal 9-9-2025"
Territorio,Territorio
Coordinate,40°53′51.47″N 14°11′25.33″E
Altitudine,151 m s.l.m.
Superficie,"15,64 km²"
Abitanti,57 676[1] (30-11-2025)
Densità,"3 687,72 ab./km²"
Frazioni,"Castello Monteleone, Masseria Foragnano, San Marco, San Rocco, Torre Caracciolo"
Comuni confinanti,"Calvizzano, Mugnano di Napoli, Napoli, Quarto, Villaricca"
Altre informazioni,Altre informazioni
Cod. postale,80016
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063041
Cod. catastale,E906
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 355 GG[3]"
Nome abitanti,maranesi
Patrono,san Castrese
Giorno festivo,11 febbraio
Cartografia,Cartografia
Marano di Napoli,Marano di Napoli
Marano di Napoli – MappaPosizione del comune di Marano di Napoli nella città metropolitana di Napoli,Marano di Napoli – MappaPosizione del comune di Marano di Napoli nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
