Ischia comune,Ischia comune.1
,
Ischia – Veduta,Ischia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Vincenzo Ferrandino (lista civica Ischia democratica) dall'11-6-2017
Territorio,Territorio
Coordinate,40°44′N 13°57′E
Altitudine,2 m s.l.m.
Superficie,"8,14 km²"
Abitanti,19 434[1] (30-11-2025)
Densità,"2 387,47 ab./km²"
Comuni confinanti,"Barano d'Ischia, Casamicciola Terme"
Altre informazioni,Altre informazioni
Cod. postale,80077
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063037
Cod. catastale,E329
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 044 GG[3]"
Nome abitanti,ischitani
Patrono,san Giovan Giuseppe della Croce
Giorno festivo,5 marzo
Motto,(LA) Iscla Fedelitatis Æternæ
Cartografia,Cartografia
Ischia,Ischia
Ischia – MappaPosizione del comune di Ischia nella città metropolitana di Napoli,Ischia – MappaPosizione del comune di Ischia nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
