Mariglianella comune,Mariglianella comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Arcangelo Russo (Liberi di volare) dal 22-9-2020
Territorio,Territorio
Coordinate,40°55′40.79″N 14°25′58.72″E
Altitudine,28 m s.l.m.
Superficie,"3,26[1] km²"
Abitanti,8 041[2] (30-11-2025)
Densità,"2 466,56 ab./km²"
Frazioni,Masseria Castellana[1]
Comuni confinanti,"Brusciano, Marigliano, Somma Vesuviana[1]"
Altre informazioni,Altre informazioni
Cod. postale,80030
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063042
Cod. catastale,E954
Targa,
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 130 GG[4]"
Nome abitanti,mariglianellesi
Patrono,san Giovanni Evangelista
Giorno festivo,27 dicembre
Cartografia,Cartografia
Mariglianella,Mariglianella
Mariglianella – MappaPosizione del comune di Mariglianella nella città metropolitana di Napoli,Mariglianella – MappaPosizione del comune di Mariglianella nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
