Sant'Anastasia comune,Sant'Anastasia comune.1
,
Sant'Anastasia – VedutaPanorama di Sant'Anastasia,Sant'Anastasia – VedutaPanorama di Sant'Anastasia
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Carmine Esposito (Lista civica Agire con Carmine Esposito) dall'8-10-2020
Territorio,Territorio
Coordinate,40°52′N 14°24′E
Altitudine,150 (casa comunale) m s.l.m.
Superficie,"18,74 km²"
Abitanti,26 005[1] (30-11-2025)
Densità,"1 387,67 ab./km²"
Frazioni,"Guadagni, Marra-Marciano, Ponte di Ferro, Starza Vecchia."
Comuni confinanti,"Casalnuovo di Napoli, Ercolano, Pollena Trocchia, Pomigliano d'Arco, Somma Vesuviana"
Altre informazioni,Altre informazioni
Cod. postale,80048
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063072
Cod. catastale,I262
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 216 GG[3]"
Nome abitanti,anastasiani
Patrono,san Francesco Saverio
Giorno festivo,3 dicembre
Cartografia,Cartografia
Sant'Anastasia,Sant'Anastasia
Sant'Anastasia – MappaPosizione del comune di Sant'Anastasia nella città metropolitana di Napoli,Sant'Anastasia – MappaPosizione del comune di Sant'Anastasia nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
