Ottaviano comune,Ottaviano comune.1
,
Ottaviano – Veduta,Ottaviano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Roberto Esposito (Commissario Prefettizio) dal 03-10-2025
Territorio,Territorio
Coordinate,40°51′00″N 14°28′39″E
Altitudine,220 m s.l.m.
Superficie,"20,02 km²"
Abitanti,23 356[1] (30-11-2025)
Densità,"1 166,63 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Boscotrecase, Ercolano, Nola, San Gennaro Vesuviano, San Giuseppe Vesuviano, Somma Vesuviana, Terzigno, Torre del Greco, Trecase"
Altre informazioni,Altre informazioni
Cod. postale,80044
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063051
Cod. catastale,G190
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 334 GG[3]"
Nome abitanti,ottavianesi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Ottaviano,Ottaviano
Ottaviano – MappaPosizione del comune di Ottaviano nella città metropolitana di Napoli,Ottaviano – MappaPosizione del comune di Ottaviano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
