Vico Equense comune,Vico Equense comune.1
,
Vico Equense – Veduta,Vico Equense – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Giuseppe Aiello (liste civiche di centro-destra) dal 18-10-2021
Territorio,Territorio
Coordinate,40°40′N 14°26′E
Altitudine,90 m s.l.m.
Superficie,"29,38 km²"
Abitanti,20 144[1] (30-11-2025)
Densità,"685,64 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Castellammare di Stabia, Meta, Piano di Sorrento, Pimonte, Positano (SA)"
Altre informazioni,Altre informazioni
Cod. postale,80069
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063086
Cod. catastale,L845
Targa,
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 174 GG[3]"
Nome abitanti,vicani
Patrono,san Ciro
Giorno festivo,31 gennaio
Cartografia,Cartografia
Vico Equense,Vico Equense
Vico Equense – MappaPosizione del comune di Vico Equense nella città metropolitana di Napoli,Vico Equense – MappaPosizione del comune di Vico Equense nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
