Cicciano comune,Cicciano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Giuseppe Domenico Caccavale (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,40°58′N 14°32′E
Altitudine,50 m s.l.m.
Superficie,"7,33 km²"
Abitanti,12 328[1] (30-11-2025)
Densità,"1 681,86 ab./km²"
Frazioni,Cutignano
Comuni confinanti,"Camposano, Comiziano, Nola, Roccarainola, Tufino"
Altre informazioni,Altre informazioni
Cod. postale,80033
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063027
Cod. catastale,C675
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 048 GG[3]"
Nome abitanti,ciccianesi
Patrono,san Barbato di Benevento
Giorno festivo,19 febbraio
Cartografia,Cartografia
Cicciano,Cicciano
Cicciano – MappaPosizione del comune di Cicciano nella città metropolitana di Napoli,Cicciano – MappaPosizione del comune di Cicciano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
