Melito di Napoli comune,Melito di Napoli comune.1
,
Melito di Napoli – VedutaIl municipio di Melito di Napoli,Melito di Napoli – VedutaIl municipio di Melito di Napoli
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Francesco Antonio Cappetta[1] (commissario prefettizio) dal 22-4-2023
Territorio,Territorio
Coordinate,40°55′N 14°14′E
Altitudine,89 m s.l.m.
Superficie,"3,81 km²"
Abitanti,36 199[2] (30-11-2025)
Densità,"9 501,05 ab./km²"
Comuni confinanti,"Casandrino, Giugliano in Campania, Mugnano di Napoli, Napoli, Sant'Antimo"
Altre informazioni,Altre informazioni
Cod. postale,80017
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063045
Cod. catastale,F111
Targa,
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 194 GG[4]"
Nome abitanti,melitesi
Patrono,santo Stefano protomartire
Giorno festivo,il lunedì successivo alla seconda domenica di ottobre
Cartografia,Cartografia
Melito di Napoli,Melito di Napoli
Melito di Napoli – MappaPosizione del comune di Melito di Napoli nella città metropolitana di Napoli,Melito di Napoli – MappaPosizione del comune di Melito di Napoli nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
