San Giuseppe Vesuviano comune,San Giuseppe Vesuviano comune.1
,
San Giuseppe Vesuviano – Veduta,San Giuseppe Vesuviano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Michele Sepe (PD) dal 24-6-2024
Territorio,Territorio
Coordinate,40°50′N 14°30′E
Altitudine,101 m s.l.m.
Superficie,"14,17 km²"
Abitanti,30 538[1] (30-11-2025)
Densità,"2 155,12 ab./km²"
Frazioni,"Nappi, Casilli, Piano Del Principe, Santa Maria la Scala, San Leonardo"
Comuni confinanti,"Ottaviano, Palma Campania, Poggiomarino, San Gennaro Vesuviano, Terzigno"
Altre informazioni,Altre informazioni
Cod. postale,80047
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063068
Cod. catastale,H931
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 134 GG[3]"
Nome abitanti,sangiuseppesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Motto,"(LA) Ex Flammis Orior ""Risorgo dalle fiamme"""
Cartografia,Cartografia
San Giuseppe Vesuviano,San Giuseppe Vesuviano
San Giuseppe Vesuviano – MappaPosizione del comune di San Giuseppe Vesuviano nella città metropolitana di Napoli,San Giuseppe Vesuviano – MappaPosizione del comune di San Giuseppe Vesuviano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
