Meta comune,Meta comune.1
,
Meta – Veduta,Meta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,"Giuseppe Tito (lista civica ""Patto per Meta"") dal 26-5-2014 (3º mandato dal 9-6-2024)"
Territorio,Territorio
Coordinate,40°38′30″N 14°25′00″E
Altitudine,111 m s.l.m.
Superficie,"2,25 km²"
Abitanti,7 856[1] (30-11-2025)
Densità,"3 491,56 ab./km²"
Frazioni,Alberi
Comuni confinanti,"Piano di Sorrento, Vico Equense"
Altre informazioni,Altre informazioni
Cod. postale,80062
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063046
Cod. catastale,F162
Targa,
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 146 GG[3]"
Nome abitanti,metesi
Patrono,santa Maria del Lauro
Giorno festivo,12 settembre
Cartografia,Cartografia
Meta,Meta
Meta – MappaPosizione del comune di Meta nella città metropolitana di Napoli,Meta – MappaPosizione del comune di Meta nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
