Sant'Antimo comune,Sant'Antimo comune.1
,
Sant'Antimo – Veduta,Sant'Antimo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Massimo Buonanno (PD) dal 24-6-2024
Territorio,Territorio
Coordinate,40°56′35.26″N 14°14′12.48″E
Altitudine,58 m s.l.m.
Superficie,"5,9 km²"
Abitanti,32 482[1] (30-11-2025)
Densità,"5 505,42 ab./km²"
Frazioni,"Friano, Ponte Mezzotta"
Comuni confinanti,"Aversa (CE), Casandrino, Cesa (CE), Giugliano in Campania, Grumo Nevano, Melito di Napoli, Sant'Arpino (CE)"
Altre informazioni,Altre informazioni
Cod. postale,80029
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063073
Cod. catastale,I293
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 032 GG[3]"
Nome abitanti,santantimesi
Patrono,sant'Antimo Prete e Martire
Giorno festivo,11 maggio
Cartografia,Cartografia
Sant'Antimo,Sant'Antimo
Sant'Antimo – MappaPosizione del comune di Sant'Antimo nella città metropolitana di Napoli,Sant'Antimo – MappaPosizione del comune di Sant'Antimo nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
