Giugliano in Campania comune,Giugliano in Campania comune.1
(dettagli),(dettagli)
Giugliano in Campania – VedutaChiesa dell'Annunziata,Giugliano in Campania – VedutaChiesa dell'Annunziata
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Diego Nicola D'Alterio[1] (PD) dal 11-6-2025
Territorio,Territorio
Coordinate,40°55′42.05″N 14°12′03.91″E
Altitudine,97 m s.l.m.
Superficie,"94,62 km²"
Abitanti,124 977[2] (30-11-2025)
Densità,"1 320,83 ab./km²"
Frazioni,"Lago Patria, Licola, Varcaturo, Casacelle;[3] vedi elenco quartieri"
Comuni confinanti,"Aversa (CE), Casapesenna (CE), Castel Volturno (CE), Lusciano (CE), Melito di Napoli, Mugnano di Napoli, Parete (CE), Pozzuoli, Qualiano, Quarto, San Cipriano d'Aversa (CE), Sant'Antimo, Trentola Ducenta (CE), Villa Literno (CE), Villaricca"
Altre informazioni,Altre informazioni
Cod. postale,80014
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063034
Cod. catastale,E054
Targa,
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona C, 1 207 GG[5]"
Nome abitanti,giuglianesi
Patrono,san Giuliano Madonna della Pace
Giorno festivo,27 gennaio lunedì di Pentecoste
Soprannome,Città della Fiaba[6] in onore del favolista Giambattista Basile. Città della mela annurca
Cartografia,Cartografia
Giugliano in Campania,Giugliano in Campania
Giugliano in Campania – MappaPosizione del comune di Giugliano in Campania nella città metropolitana di Napoli,Giugliano in Campania – MappaPosizione del comune di Giugliano in Campania nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
