Massa Lubrense comune,Massa Lubrense comune.1
,
Massa Lubrense – Veduta,Massa Lubrense – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Giovanna Staiano (Patto con la città) dall'8-5-2025
Territorio,Territorio
Coordinate,40°37′N 14°21′E
Altitudine,121 m s.l.m.
Superficie,"19,84 km²"
Abitanti,14 123[1] (30-11-2025)
Densità,"711,84 ab./km²"
Frazioni,"Acquara, Annunziata, Caso, Marciano, Marina del Cantone, Marina della Lobra, Marina di Puolo, Metrano, Monticchio, Nerano, Pastena, San Francesco, Sant'Agata sui Due Golfi, Santa Maria, Santa Maria della Neve, Schiazzano, Termini, Torca"
Comuni confinanti,Sorrento
Altre informazioni,Altre informazioni
Cod. postale,80061
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063044
Cod. catastale,F030
Targa,
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 079 GG[3]"
Nome abitanti,massesi
Patrono,san Cataldo
Giorno festivo,10 maggio
Cartografia,Cartografia
Massa Lubrense,Massa Lubrense
Massa Lubrense – MappaPosizione del comune di Massa Lubrense nella città metropolitana di Napoli,Massa Lubrense – MappaPosizione del comune di Massa Lubrense nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
