Procida comune,Procida comune.1
,
Procida – Veduta,Procida – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Raimondo Ambrosino (lista civica Procida che vorrei) dal 2-6-2015 (2º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,40°45′39.96″N 14°01′09.48″E
Altitudine,27[1] m s.l.m.
Superficie,"4,26 km²"
Abitanti,9 986[2] (30-11-2025)
Densità,"2 344,13 ab./km²"
Frazioni,nessuna
Comuni confinanti,nessuno (comune insulare)
Altre informazioni,Altre informazioni
Cod. postale,80079
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063061
Cod. catastale,H072
Targa,
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 088 GG[4]"
Nome abitanti,procidani
Patrono,san Michele Arcangelo
Giorno festivo,"29 settembre, 8 maggio (apparizione)"
Cartografia,Cartografia
Procida,Procida
Procida – MappaPosizione del comune di Procida nella città metropolitana di Napoli,Procida – MappaPosizione del comune di Procida nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
