Caivano comune,Caivano comune.1
,
Caivano – VedutaIl Castello di Caivano,Caivano – VedutaIl Castello di Caivano
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Antonio Angelino (Indipendente di centro) dal 2-12-2025
Territorio,Territorio
Coordinate,40°57′N 14°18′E
Altitudine,27 m s.l.m.
Superficie,"27,22 km²"
Abitanti,35 905[1] (30-11-2025)
Densità,"1 319,07 ab./km²"
Frazioni,16 (vedi sotto)
Comuni confinanti,"Acerra, Afragola, Cardito, Crispano, Marcianise (CE), Orta di Atella (CE)"
Altre informazioni,Altre informazioni
Cod. postale,80023
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063011
Cod. catastale,B371
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 090 GG[3]"
Nome abitanti,caivanesi
Patrono,Maria Santissima di Campiglione
Giorno festivo,seconda domenica di maggio
Cartografia,Cartografia
Caivano,Caivano
Caivano – MappaPosizione del comune di Caivano nella città metropolitana di Napoli,Caivano – MappaPosizione del comune di Caivano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
