Arzano comune,Arzano comune.1
,
Arzano – VedutaPanoramica di Arzano,Arzano – VedutaPanoramica di Arzano
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Vincenza Aruta (PD) dal 4-10-2021
Territorio,Territorio
Coordinate,40°54′55″N 14°16′05″E
Altitudine,74 m s.l.m.
Superficie,"4,71 km²"
Abitanti,31 643[1] (30-11-2025)
Densità,"6 718,26 ab./km²"
Frazioni,Lanciasino
Comuni confinanti,"Casandrino, Casavatore, Casoria, Frattamaggiore, Grumo Nevano, Napoli"
Altre informazioni,Altre informazioni
Cod. postale,80022
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063005
Cod. catastale,A455
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 269 GG[3]"
Nome abitanti,arzanesi
Patrono,sant'Agrippino e santa Giustina
Giorno festivo,"9 novembre, Sant'Agrippino"
Cartografia,Cartografia
Arzano,Arzano
Arzano – MappaPosizione del comune di Arzano nella città metropolitana di Napoli,Arzano – MappaPosizione del comune di Arzano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
