Torre del Greco comune,Torre del Greco comune.1
,
Torre del Greco – Veduta,Torre del Greco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Luigi Mennella (PD) dal 29-5-2023
Territorio,Territorio
Coordinate,40°47′07″N 14°23′43″E
Altitudine,43 m s.l.m.
Superficie,"30,63 km²"
Abitanti,78 915[1] (30-11-2025)
Densità,"2 576,4 ab./km²"
Frazioni,"Santa Maria la Bruna, Leopardi, Sant'Antonio, Santa Croce, Litoranea"
Comuni confinanti,"Boscotrecase, Ercolano, Ottaviano, Torre Annunziata, Trecase"
Altre informazioni,Altre informazioni
Cod. postale,80059
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063084
Cod. catastale,L259
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 051 GG[3]"
Nome abitanti,"torresi, corallini"
Patrono,"Immacolata Concezione, san Vincenzo Romano, san Gennaro"
Giorno festivo,"8 dicembre, 29 novembre, 19 settembre"
Motto,Post fata resurgo
Cartografia,Cartografia
Torre del Greco,Torre del Greco
Torre del Greco – MappaPosizione del comune di Torre del Greco nella città metropolitana di Napoli,Torre del Greco – MappaPosizione del comune di Torre del Greco nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
