Frattaminore comune,Frattaminore comune.1
,
Frattaminore – Veduta,Frattaminore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Giuseppe Bencivenga (PD) dal 5-6-2016
Territorio,Territorio
Coordinate,40°57′20″N 14°16′15″E
Altitudine,36 m s.l.m.
Superficie,"1,99 km²"
Abitanti,15 417[1] (30-11-2025)
Densità,"7 747,24 ab./km²"
Frazioni,Spagnuolo
Comuni confinanti,"Crispano, Frattamaggiore, Orta di Atella (CE), Sant'Arpino (CE)"
Altre informazioni,Altre informazioni
Cod. postale,80020
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063033
Cod. catastale,D790
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 105 GG[3]"
Nome abitanti,frattaminoresi e pomiglianesi (in base alla zona d'origine)[4][5]
Patrono,San Simeone il Vecchio o profeta
Giorno festivo,8 ottobre
Cartografia,Cartografia
Frattaminore,Frattaminore
Frattaminore – MappaPosizione del comune di Frattaminore nella città metropolitana di Napoli,Frattaminore – MappaPosizione del comune di Frattaminore nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
