Gragnano comune,Gragnano comune.1
,
"Gragnano – VedutaLa Chiesa di Santa Maria dell'Assunta, nella frazione di Castello.","Gragnano – VedutaLa Chiesa di Santa Maria dell'Assunta, nella frazione di Castello."
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Aniello D'Auria (lista civica Gragnano Hub) dal 4-10-2021
Territorio,Territorio
Coordinate,40°41′20″N 14°31′15″E
Altitudine,141 m s.l.m.
Superficie,"14,64 km²"
Abitanti,27 433[1] (30-11-2025)
Densità,"1 873,84 ab./km²"
Frazioni,"Aurano, Caprile, Castello, Sigliano, Iuvani, San Nicola Dei Miri, Parco Imperiale,Casa dei Miri"
Comuni confinanti,"Agerola, Casola di Napoli, Castellammare di Stabia, Lettere, Pimonte, Ravello (SA), Sant'Antonio Abate, Santa Maria la Carità, Scala (SA)"
Altre informazioni,Altre informazioni
Cod. postale,80054
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063035
Cod. catastale,E131
Targa,
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 235 GG[3]"
Nome abitanti,gragnanesi
Patrono,san Sebastiano[4][5]
Giorno festivo,20 gennaio
Cartografia,Cartografia
Gragnano,Gragnano
Gragnano – MappaPosizione del comune di Gragnano nella città metropolitana di Napoli,Gragnano – MappaPosizione del comune di Gragnano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
