Marigliano comune,Marigliano comune.1
,
Marigliano – VedutaSantuario Madonna della Speranza,Marigliano – VedutaSantuario Madonna della Speranza
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Gaetano Bocchino (PD) dal 24-6-2025
Territorio,Territorio
Coordinate,40°56′N 14°27′E
Altitudine,30 m s.l.m.
Superficie,"22,58 km²"
Abitanti,29 509[1] (30-11-2025)
Densità,"1 306,86 ab./km²"
Frazioni,"Lausdomini, Casaferro, Miuli, Pontecitra, Faibano, San Nicola (centro compreso)"
Comuni confinanti,"Acerra, Brusciano, Mariglianella, Nola, San Vitaliano, Scisciano, Somma Vesuviana"
Altre informazioni,Altre informazioni
Cod. postale,80034
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063043
Cod. catastale,E955
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 014 GG[3]"
Nome abitanti,mariglianesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Marigliano,Marigliano
Marigliano – MappaPosizione del comune di Marigliano nella città metropolitana di Napoli,Marigliano – MappaPosizione del comune di Marigliano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
