Palma Campania comune,Palma Campania comune.1
,
Palma Campania – Veduta,Palma Campania – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Aniello Donnarumma dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,40°52′N 14°33′E
Altitudine,63 m s.l.m.
Superficie,"20,67 km²"
Abitanti,16 261[1] (30-11-2025)
Densità,"786,7 ab./km²"
Frazioni,"Castello, Fiume, Pozzoromolo, Vico di Palma"
Comuni confinanti,"Carbonara di Nola, Domicella (AV), Lauro (AV), Liveri, Nola, Poggiomarino, San Gennaro Vesuviano, San Giuseppe Vesuviano, Sarno (SA), Striano"
Altre informazioni,Altre informazioni
Cod. postale,80036
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063052
Cod. catastale,G283
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 229 GG[3]"
Nome abitanti,palmesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Palma Campania,Palma Campania
Palma Campania – MappaPosizione del comune di Palma Campania nella città metropolitana di Napoli,Palma Campania – MappaPosizione del comune di Palma Campania nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
