Forio comune,Forio comune.1
,
Forio – Veduta,Forio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Stanislao Verde (liste civiche) dal 15-5-2023
Territorio,Territorio
Coordinate,40°44′N 13°51′E
Altitudine,18 m s.l.m.
Superficie,"13,08 km²"
Abitanti,17 479[1] (30-11-2025)
Densità,"1 336,31 ab./km²"
Frazioni,Panza
Comuni confinanti,"Casamicciola Terme, Lacco Ameno, Serrara Fontana"
Altre informazioni,Altre informazioni
Cod. postale,80075
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063031
Cod. catastale,D702
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 069 GG[3]"
Nome abitanti,foriani
Patrono,san Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
Forio,Forio
Forio – MappaPosizione del comune di Forio nella città metropolitana di Napoli,Forio – MappaPosizione del comune di Forio nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
