Somma Vesuviana comune,Somma Vesuviana comune.1
,
Somma Vesuviana – VedutaPanoramica di Somma Vesuviana,Somma Vesuviana – VedutaPanoramica di Somma Vesuviana
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Ida Carbone (commissario prefettizio) dal 06-10-2025
Territorio,Territorio
Coordinate,40°52′21″N 14°26′13″E
Altitudine,165 m s.l.m.
Superficie,"30,65 km²"
Abitanti,33 232[1] (30-11-2025)
Densità,"1 084,24 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Brusciano, Castello di Cisterna, Ercolano, Mariglianella, Marigliano, Nola, Ottaviano, Pomigliano d'Arco, Sant'Anastasia, Saviano, Scisciano"
Altre informazioni,Altre informazioni
Cod. postale,80049
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063079
Cod. catastale,I820
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 241 GG[3]"
Nome abitanti,sommesi
Patrono,san Gennaro
Giorno festivo,19 settembre
Cartografia,Cartografia
Somma Vesuviana,Somma Vesuviana
Somma Vesuviana – MappaPosizione del comune di Somma Vesuviana nella città metropolitana di Napoli,Somma Vesuviana – MappaPosizione del comune di Somma Vesuviana nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
