Colonno comune,Colonno comune.1
,
Colonno – VedutaVista di Colonno dalla Antica Via Regina,Colonno – VedutaVista di Colonno dalla Antica Via Regina
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Gandola Davide (lista civica Colonno per voi) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°57′28″N 9°09′20″E
Altitudine,215 m s.l.m.
Superficie,"5,62 km²"
Abitanti,432[1] (30-11-2025)
Densità,"76,87 ab./km²"
Comuni confinanti,"Argegno, Laino, Lezzeno, Pigra, Sala Comacina, Tremezzina"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013074
Cod. catastale,C902
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 375 GG[3]"
Nome abitanti,colonnesi
Patrono,san Michele arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Colonno,Colonno
Colonno – MappaPosizione del comune di Colonno nella provincia di Como,Colonno – MappaPosizione del comune di Colonno nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
