Plesio comune,Plesio comune.1
,
Plesio – Veduta,Plesio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Celestino Pedrazzini (lista civica Per un futuro) dal 20-9-2020
Territorio,Territorio
Coordinate,46°02′58″N 9°13′32″E
Altitudine,595 m s.l.m.
Superficie,"16,9 km²"
Abitanti,807[1] (30-11-2025)
Densità,"47,75 ab./km²"
Frazioni,"Barna, Breglia, Calveseglio, Ligomena, Logo"
Comuni confinanti,"Cremia, Garzeno, Grandola ed Uniti, Menaggio, San Siro"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013185
Cod. catastale,G737
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 880 GG[3]"
Nome abitanti,plesiensi
Patrono,san Fedele martire
Giorno festivo,29 ottobre
Cartografia,Cartografia
Plesio,Plesio
Plesio – MappaPosizione del comune di Plesio nella provincia di Como,Plesio – MappaPosizione del comune di Plesio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
