Montemezzo comune,Montemezzo comune.1
,
Montemezzo – Veduta,Montemezzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Guido Spelzini (lista civica Rilanciamo Montemezzo) dal 9-6-2024
Territorio,Territorio
Coordinate,46°10′41.56″N 9°22′28.31″E
Altitudine,522 m s.l.m.
Superficie,"9,02 km²"
Abitanti,204[1] (30-11-2025)
Densità,"22,62 ab./km²"
Frazioni,"Burano, Selva, Piazzolo, Cerceno, Montalto"
Comuni confinanti,"Gera Lario, Samolaco (SO), Sorico, Trezzone, Vercana"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013155
Cod. catastale,F564
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 811 GG[3]"
Nome abitanti,montemezzini
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Montemezzo,Montemezzo
Montemezzo – MappaPosizione del comune di Montemezzo nella provincia di Como,Montemezzo – MappaPosizione del comune di Montemezzo nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
