Pigra comune,Pigra comune.1
,
Pigra – Veduta,Pigra – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Giovanni Balabio (lista civica Futuro per Pigra) dal 5-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,45°57′55.98″N 9°07′30.41″E
Altitudine,881 m s.l.m.
Superficie,"4,53 km²"
Abitanti,233[1] (30-11-2025)
Densità,"51,43 ab./km²"
Comuni confinanti,"Argegno, Blessagno, Colonno, Dizzasco, Laino"
Altre informazioni,Altre informazioni
Cod. postale,22020
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013184
Cod. catastale,G665
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 321 GG[3]"
Nome abitanti,pigresi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Pigra,Pigra
Pigra – MappaPosizione del comune di Pigra nella provincia di Como,Pigra – MappaPosizione del comune di Pigra nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
