Albese con Cassano comune,Albese con Cassano comune.1
,
Albese con Cassano – VedutaVeduta sul centro di Albese,Albese con Cassano – VedutaVeduta sul centro di Albese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Alberto Gaffuri (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°48′N 9°10′E
Altitudine,402 m s.l.m.
Superficie,"7,95 km²"
Abitanti,4 296[1] (30-11-2025)
Densità,"540,38 ab./km²"
Frazioni,"Cassano, Sirtolo"
Comuni confinanti,"Albavilla, Faggeto Lario, Montorfano, Orsenigo, Tavernerio"
Altre informazioni,Altre informazioni
Cod. postale,22032
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013004
Cod. catastale,A153
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 640 GG[3]"
Nome abitanti,albesini
Patrono,santa Margherita
Giorno festivo,5 luglio
Cartografia,Cartografia
Albese con Cassano,Albese con Cassano
Albese con Cassano – MappaPosizione del comune di Albese con Cassano nella provincia di Como,Albese con Cassano – MappaPosizione del comune di Albese con Cassano nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
