Domaso comune,Domaso comune.1
,
Domaso – Veduta,Domaso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Pietro Angelo Leggeri (lista civica) dal 28-3-2010 (3º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,46°09′N 9°20′E
Altitudine,216 m s.l.m.
Superficie,"6,28 km²"
Abitanti,1 393[1] (30-11-2025)
Densità,"221,82 ab./km²"
Frazioni,"Gaggio, Pozzolo"
Comuni confinanti,"Colico (LC), Gravedona ed Uniti, Livo, Peglio, Vercana, Dongo"
Altre informazioni,Altre informazioni
Cod. postale,22013
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013089
Cod. catastale,D329
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 376 GG[3]"
Nome abitanti,domasini (in dialetto lécapiatt)
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Domaso,Domaso
Domaso – MappaPosizione del comune di Domaso nella provincia di Como,Domaso – MappaPosizione del comune di Domaso nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
