Ponna comune,Ponna comune.1
,
"Ponna – VedutaPonna Inferiore, di Mezzo e Superiore ed annesso territorio comunale boschivo, a destra la Valle di Ponna, in primo piano parte del paese di Pellio","Ponna – VedutaPonna Inferiore, di Mezzo e Superiore ed annesso territorio comunale boschivo, a destra la Valle di Ponna, in primo piano parte del paese di Pellio"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Damiana Roberta Magni (lista civica Per Ponna) dal 3-10-2021
Territorio,Territorio
Coordinate,45°59′44.06″N 9°05′46.99″E
Altitudine,870 m s.l.m.
Superficie,"5,81 km²"
Abitanti,223[1] (30-11-2025)
Densità,"38,38 ab./km²"
Frazioni,"Ponna Superiore, Ponna di Mezzo, Ponna Inferiore"
Comuni confinanti,"Claino con Osteno, Colonno, Laino, Porlezza, Sala Comacina, Tremezzina"
Altre informazioni,Altre informazioni
Cod. postale,22020
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013187
Cod. catastale,G821
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 305 GG[3]"
Nome abitanti,ponnesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Ponna,Ponna
Ponna – MappaPosizione del comune di Ponna nella provincia di Como,Ponna – MappaPosizione del comune di Ponna nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
