Guanzate comune,Guanzate comune.1
,
Guanzate – VedutaVista da nord sul centro di Guanzate,Guanzate – VedutaVista da nord sul centro di Guanzate
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Maria Rosaria D'Acunzo (commissario prefettizio) dal 18-7-2025
Territorio,Territorio
Coordinate,45°44′N 9°01′E
Altitudine,342 m s.l.m.
Superficie,"6,91 km²"
Abitanti,5 784[1] (30-11-2025)
Densità,"837,05 ab./km²"
Comuni confinanti,"Appiano Gentile, Bulgarograsso, Cadorago, Cassina Rizzardi, Cirimido, Fenegrò, Fino Mornasco, Lomazzo, Veniano"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013114
Cod. catastale,E235
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 615 GG[3]"
Nome abitanti,guanzatesi
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Guanzate,Guanzate
Guanzate – MappaPosizione del comune di Guanzate nella provincia di Como,Guanzate – MappaPosizione del comune di Guanzate nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
